================================================================================
  DOC-ID:   KLD-REV-001
  TITLE:    Documentation Set Revision Journal (master)
  VERSION:  1.20
  DATE:     2026-08-22
  STATUS:   Released
  AUTHOR:   LANE DOCS
  SOURCE-REVISION REVIEWED: MAIN master @ 0907825 (+ Phase-5 working tree),
            SVC lane/services @ 88ed8a7, TLS lane/tools @ e0bfb11,
            VERIFY FINDINGS.txt findings 1-39 incl. addenda/closures,
            MEMORY.md @ md5 deb670af... (QA intake binding; cross-lane
            contract notes), abi/ABI.md v1.1 RATIFIED (@ md5 66226514...)
================================================================================

PURPOSE. Master journal of the documentation set. Every substantive change
to any docs/*.txt appends one row here AND a row in that file's own
revision-history table. Columns: Version | Date | Sections touched |
        |            | TRACE R-AB4-x                        | input/focus in-
        |            |                                      | tree (F17 kernel
        |            |                                      | side resolved);
        |            |                                      | F13 remains.
1.17    | 2026-08-22 | SDD ctrl; RELHIST ctrl/4.2           | TLS @ d461037:
        |            |                                      | VMDK/VDI
        |            |                                      | converter
        |            |                                      | golden-file
        |            |                                      | coverage.
1.18    | 2026-08-22 | RELHIST ctrl + row 1.17; SDD ctrl    | FINDINGS 39
        |            |                                      | (d461037
        |            |                                      | reviewed clean).
1.19    | 2026-08-22 | SDD ctrl/15.5 note via RELHIST 4.3;  | TLS @ 1929b87:
        |            | RELHIST ctrl/4.3                     | tools/hvtest
        |            |                                      | hypervisor test
        |            |                                      | matrix scaffolded.
1.20    | 2026-08-22 | SDD ctrl; RELHIST ctrl/4.3           | TLS @ b75d0f5
        |            |                                      | (README fleet
        |            |                                      | overview); FINDINGS
        |            |                                      | 40 clean review.
        |            |                                     | (kernel impl
        |            |                                     | pending).

SET STATE AT RELEASE 1.15.
- Sources reviewed: abi/ABI.md v1.1 RATIFIED (changelog incl. LOGIN,
  abi_ver, managed-runtime block transport, SETCONF/CAP_CONF; §11 v2
  roadmap), MEMORY.md (Phases 0-5 ALL GREEN @ 6a22fec; five-lane fleet;
  binding QA intake; ratified-ABI note; NEXT = Phase 7 with merge-first
  coordination note), services/ABI-NOTES.md §1-§8, core/*.{cc,h} incl.
  fsroute.{cc,h}, arch/x86_64/*, Makefile gates g1-g3/p4/p5a/p5b, SVC
  five wrapped modules + guests/lib (conformance sprint through
  162c90e), TLS tools/img + README (cleared F36), VERIFY FINDINGS.txt findings 1-39
  with addenda/closures.
- Consistency: TRACE marks P0-P4 VERIFIED at commits recorded in RELHIST;
  P5 gates GREEN-declared at 6a22fec but rows remain IMPL* under the
  TESTPLAN 1.8 admissibility rule while FINDINGS F12/F13/F16/F18/F31/F32
  (+F28, F35/F35a) stay open; IFSPEC treats the ratified ABI v1.1 prose
  as canonical and tracks code gaps in its Section 12 open-defect
  register; GLOSSARY terms match usage across all files; SDD 16.7 is the
  authoritative blocker summary.
- Poll cadence: heads re-checked each cycle; MAIN advanced to b9263a2
  (ratification) -> da43b41 (Phase 5) -> 6a22fec (gate-green declaration)
  with Phase-7 orchestration in flight; SVC sprinted e3ef0ce -> f5d2e23
  -> daac2b6 -> 162c90e; ABI advanced twice (waves 1.7, 1.10-1.11); the
  VERIFY ledger advanced eight times mid-session -- all fully mirrored
  in SDD 16.7 / IFSPEC Section 12 / TRACE annotations / TESTPLAN 9.8 /
  RELHIST 5.x.
- Consistency: TRACE marks P0-P4 VERIFIED at commits recorded in RELHIST;
  P5 gates REPORTED GREEN at da43b41 but rows remain IMPL* under the
  TESTPLAN 1.8 admissibility rule while FINDINGS F13/F16/F18/F31/F32/F33
  (+F28, F35/F35a) stay open; IFSPEC treats the ratified ABI v1.1 prose
  as canonical and tracks code gaps in its Section 12 open-defect
  register; GLOSSARY terms match usage across all files; SDD 16.7 is the
  authoritative blocker summary.
- Poll cadence: heads re-checked each cycle; MAIN advanced to b9263a2
  (ratification) then da43b41 (Phase 5); SVC sprinted through e3ef0ce ->
  f5d2e23 -> daac2b6 -> 162c90e; ABI advanced twice (waves 1.7,
  1.10-1.11); the VERIFY ledger advanced six times mid-session -- all
  fully mirrored in SDD 16.7 / IFSPEC Section 12 / TRACE annotations /
  TESTPLAN 9.8 / RELHIST 5.x.

UPDATE POLICY. Re-poll commits and MEMORY.md at every cycle start; revise
invalidated sections per KLD standard; append rows here and per-file;
keep TRACE/GLOSSARY synchronized with any ABI or phase fact change; when
a FINDINGS blocker referenced by a doc closes, the citing rows must be
updated in the same docs cycle.

================================================================================
